"step-LOADING2_frame-1_var-U:0","step-LOADING2_frame-1_var-U:1","step-LOADING2_frame-1_var-U:2","step-LOADING2_frame-1_var-S:0","step-LOADING2_frame-1_var-S:1","step-LOADING2_frame-1_var-S:2","step-LOADING2_frame-1_var-S:3","step-LOADING2_frame-1_var-S:4","step-LOADING2_frame-1_var-S:5","step-LOADING2_frame-1_var-S:6","step-LOADING2_frame-1_var-S:7","step-LOADING2_frame-1_var-S:8","step-LOADING2_frame-0_var-U:0","step-LOADING2_frame-0_var-U:1","step-LOADING2_frame-0_var-U:2","step-LOADING1_frame-0_var-S:0","step-LOADING1_frame-0_var-S:1","step-LOADING1_frame-0_var-S:2","step-LOADING1_frame-0_var-S:3","step-LOADING1_frame-0_var-S:4","step-LOADING1_frame-0_var-S:5","step-LOADING1_frame-0_var-S:6","step-LOADING1_frame-0_var-S:7","step-LOADING1_frame-0_var-S:8","step-LOADING1_frame-1_var-U:0","step-LOADING1_frame-1_var-U:1","step-LOADING1_frame-1_var-U:2","step-LOADING1_frame-0_var-U:0","step-LOADING1_frame-0_var-U:1","step-LOADING1_frame-0_var-U:2","step-LOADING1_frame-1_var-S:0","step-LOADING1_frame-1_var-S:1","step-LOADING1_frame-1_var-S:2","step-LOADING1_frame-1_var-S:3","step-LOADING1_frame-1_var-S:4","step-LOADING1_frame-1_var-S:5","step-LOADING1_frame-1_var-S:6","step-LOADING1_frame-1_var-S:7","step-LOADING1_frame-1_var-S:8","step-LOADING2_frame-0_var-S:0","step-LOADING2_frame-0_var-S:1","step-LOADING2_frame-0_var-S:2","step-LOADING2_frame-0_var-S:3","step-LOADING2_frame-0_var-S:4","step-LOADING2_frame-0_var-S:5","step-LOADING2_frame-0_var-S:6","step-LOADING2_frame-0_var-S:7","step-LOADING2_frame-0_var-S:8","Points:0","Points:1","Points:2"
-3.16569e-06,-5.67030e-06,0.00000e+00,4.55688e-06,2.46665e-06,-2.07057e-06,2.46665e-06,1.15529e-05,0.00000e+00,-2.07057e-06,0.00000e+00,0.00000e+00,-1.53673e-03,-1.46668e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.53673e-03,-1.46668e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.71935e-03,-1.00787e-02,-6.30027e-03,-1.00787e-02,-4.95674e-03,0.00000e+00,-6.30027e-03,0.00000e+00,0.00000e+00,-5.71935e-03,-1.00787e-02,-6.30027e-03,-1.00787e-02,-4.95674e-03,0.00000e+00,-6.30027e-03,0.00000e+00,0.00000e+00,5.73576e-01,1.80848e-01,0.00000e+00
-3.19382e-06,-3.56737e-06,0.00000e+00,2.28801e-06,8.34084e-06,-1.51283e-06,8.34084e-06,6.17702e-06,0.00000e+00,-1.51283e-06,0.00000e+00,0.00000e+00,-3.99993e-04,-1.48565e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.99993e-04,-1.48565e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.39215e-03,-2.95329e-03,-1.91562e-03,-2.95329e-03,-1.79041e-03,0.00000e+00,-1.91562e-03,0.00000e+00,0.00000e+00,-3.39215e-03,-2.95329e-03,-1.91562e-03,-2.95329e-03,-1.79041e-03,0.00000e+00,-1.91562e-03,0.00000e+00,0.00000e+00,6.42788e-01,2.33956e-01,0.00000e+00
-3.07961e-06,-2.82795e-06,0.00000e+00,2.19287e-06,4.20187e-06,-2.42707e-06,4.20187e-06,2.55955e-06,0.00000e+00,-2.42707e-06,0.00000e+00,0.00000e+00,4.25328e-04,-1.49781e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.25328e-04,-1.49781e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.75330e-03,-2.15499e-03,-5.74913e-04,-2.15499e-03,-1.78123e-03,0.00000e+00,-5.74913e-04,0.00000e+00,0.00000e+00,-2.75330e-03,-2.15499e-03,-5.74913e-04,-2.15499e-03,-1.78123e-03,0.00000e+00,-5.74913e-04,0.00000e+00,0.00000e+00,7.07107e-01,2.92893e-01,0.00000e+00
-2.81285e-06,-2.38507e-06,0.00000e+00,2.03940e-06,3.20096e-06,-2.13668e-06,3.20096e-06,2.10890e-06,0.00000e+00,-2.13668e-06,0.00000e+00,0.00000e+00,9.71442e-04,-1.50650e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.71442e-04,-1.50650e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.46044e-03,-1.95593e-03,1.50808e-04,-1.95593e-03,-1.91010e-03,0.00000e+00,1.50808e-04,0.00000e+00,0.00000e+00,-2.46044e-03,-1.95593e-03,1.50808e-04,-1.95593e-03,-1.91010e-03,0.00000e+00,1.50808e-04,0.00000e+00,0.00000e+00,7.66044e-01,3.57212e-01,0.00000e+00
-2.45689e-06,-2.09402e-06,0.00000e+00,1.46629e-06,3.08264e-06,-1.68336e-06,3.08264e-06,1.91614e-06,0.00000e+00,-1.68336e-06,0.00000e+00,0.00000e+00,1.37744e-03,-1.51336e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.37744e-03,-1.51336e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.05203e-03,-2.41782e-03,4.78823e-04,-2.41782e-03,-2.02263e-03,0.00000e+00,4.78823e-04,0.00000e+00,0.00000e+00,-2.05203e-03,-2.41782e-03,4.78823e-04,-2.41782e-03,-2.02263e-03,0.00000e+00,4.78823e-04,0.00000e+00,0.00000e+00,8.19152e-01,4.26424e-01,0.00000e+00
-1.63147e-06,-1.57108e-06,0.00000e+00,5.75544e-07,2.95996e-06,-6.73816e-07,2.95996e-06,1.51239e-06,0.00000e+00,-6.73816e-07,0.00000e+00,0.00000e+00,1.78139e-03,-1.52541e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.78139e-03,-1.52541e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.66767e-03,-3.45381e-03,5.23556e-04,-3.45381e-03,-2.17594e-03,0.00000e+00,5.23556e-04,0.00000e+00,0.00000e+00,-1.66767e-03,-3.45381e-03,5.23556e-04,-3.45381e-03,-2.17594e-03,0.00000e+00,5.23556e-04,0.00000e+00,0.00000e+00,9.18258e-01,5.90469e-01,0.00000e+00
-1.17862e-06,-1.26538e-06,0.00000e+00,5.15959e-07,2.44561e-06,-3.06004e-07,2.44561e-06,1.30334e-06,0.00000e+00,-3.06004e-07,0.00000e+00,0.00000e+00,1.82833e-03,-1.53257e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.82833e-03,-1.53257e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.47274e-03,-3.68117e-03,4.11236e-04,-3.68117e-03,-2.19950e-03,0.00000e+00,4.11236e-04,0.00000e+00,0.00000e+00,-1.47274e-03,-3.68117e-03,4.11236e-04,-3.68117e-03,-2.19950e-03,0.00000e+00,4.11236e-04,0.00000e+00,0.00000e+00,9.80256e-01,6.97854e-01,0.00000e+00
-8.03030e-07,-9.82874e-07,0.00000e+00,3.85545e-07,1.94683e-06,-8.24631e-08,1.94683e-06,9.33310e-07,0.00000e+00,-8.24631e-08,0.00000e+00,0.00000e+00,1.77332e-03,-1.54074e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.77332e-03,-1.54074e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.41659e-03,-3.58256e-03,2.71598e-04,-3.58256e-03,-2.19134e-03,0.00000e+00,2.71598e-04,0.00000e+00,0.00000e+00,-1.41659e-03,-3.58256e-03,2.71598e-04,-3.58256e-03,-2.19134e-03,0.00000e+00,2.71598e-04,0.00000e+00,0.00000e+00,1.05414e+00,8.25823e-01,0.00000e+00
-5.04024e-07,-7.19066e-07,0.00000e+00,3.48085e-07,1.31966e-06,1.99920e-08,1.31966e-06,6.64549e-07,0.00000e+00,1.99920e-08,0.00000e+00,0.00000e+00,1.66553e-03,-1.54984e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.66553e-03,-1.54984e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.31555e-03,-3.36639e-03,1.58256e-04,-3.36639e-03,-2.05327e-03,0.00000e+00,1.58256e-04,0.00000e+00,0.00000e+00,-1.31555e-03,-3.36639e-03,1.58256e-04,-3.36639e-03,-2.05327e-03,0.00000e+00,1.58256e-04,0.00000e+00,0.00000e+00,1.14249e+00,9.78854e-01,0.00000e+00
-3.05415e-07,-5.31283e-07,0.00000e+00,7.92574e-08,8.49997e-07,6.40601e-08,8.49997e-07,3.53249e-07,0.00000e+00,6.40601e-08,0.00000e+00,0.00000e+00,1.53107e-03,-1.55952e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.53107e-03,-1.55952e-01,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.00317e-03,-3.16581e-03,8.30246e-05,-3.16581e-03,-1.75569e-03,0.00000e+00,8.30246e-05,0.00000e+00,0.00000e+00,-1.00317e-03,-3.16581e-03,8.30246e-05,-3.16581e-03,-1.75569e-03,0.00000e+00,8.30246e-05,0.00000e+00,0.00000e+00,1.24846e+00,1.16240e+00,0.00000e+00
